Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,17.528847,18.067308,17.528847,17.932692,13.895441,206284000
2012-01-09,18.019230,18.317308,17.788462,18.115385,14.037005,244603000
2012-01-16,18.259615,18.461538,17.846153,18.413462,14.267973,258397700
2012-01-23,18.355770,18.528847,18.028847,18.298077,14.178561,225343900
2012-01-30,18.105770,18.365385,17.971153,18.288462,14.171112,227426500
2012-02-06,18.259615,18.605770,18.048077,18.153847,14.066803,276832900
2012-02-13,18.298077,18.576923,17.980770,18.538462,14.364832,294897100
2012-02-20,18.673077,18.750000,18.269230,18.500000,14.335028,158450500
2012-02-27,18.288462,18.509615,18.173077,18.240385,14.263918,198398300
2012-03-05,18.221153,18.442308,17.615385,18.307692,14.316552,228527000
2012-03-12,18.355770,19.519230,18.307692,19.423077,15.188778,339240500
2012-03-19,19.307692,19.576923,18.932692,19.019230,14.872976,235389100
2012-03-26,19.211538,20.192308,18.951923,19.298077,15.091032,227079300
2012-04-02,19.259615,19.336538,18.711538,18.740385,14.654915,178488800
2012-04-09,18.365385,18.576923,17.980770,18.153847,14.196249,205054700
2012-04-16,18.250000,18.884615,18.125000,18.615385,14.557168,227771300
2012-04-23,18.326923,19.105770,18.211538,19.019230,14.872976,230815900
2012-04-30,18.923077,19.182692,18.509615,18.596153,14.542128,166963500
2012-05-07,18.413462,18.730770,18.019230,18.278847,14.294001,207344400
2012-05-14,18.096153,18.519230,17.615385,18.221153,14.248878,304565700
2012-05-21,18.259615,18.673077,18.028847,18.461538,14.436860,226744300
2012-05-28,18.548077,18.682692,17.701923,17.826923,13.940591,194939500
2012-06-04,17.730770,18.509615,17.326923,18.461538,14.436860,411013600
2012-06-11,18.605770,19.230770,18.336538,19.230770,15.038398,271338600
2012-06-18,19.115385,19.375000,18.711538,19.048077,14.937188,253971900
2012-06-25,18.730770,20.038462,18.548077,20.038462,15.853276,298567300
2012-07-02,19.942308,20.019230,19.182692,19.230770,15.214283,174987900
2012-07-09,19.221153,19.298077,18.615385,19.009615,15.039312,221460800
2012-07-16,18.759615,19.586538,18.682692,19.105770,15.115386,296411800
2012-07-23,18.807692,20.192308,18.769230,20.115385,15.914136,308376600
2012-07-30,19.990385,20.192308,19.423077,20.153847,15.944561,208986100
2012-08-06,20.163462,20.375000,20.096153,20.288462,16.051062,159327500
2012-08-13,20.230770,20.326923,19.990385,20.192308,15.974990,155447900
2012-08-20,20.144230,20.240385,19.759615,20.000000,15.822850,157786900
2012-08-27,20.019230,20.144230,19.817308,19.913462,15.754389,130551800
2012-09-03,19.836538,20.759615,19.692308,20.759615,16.423813,167196000
2012-09-10,20.653847,21.509615,20.576923,21.259615,16.819384,335102500
2012-09-17,21.086538,21.817308,21.057692,21.663462,17.138884,279557900
2012-09-24,21.538462,22.076923,21.221153,21.836538,17.413069,273716300
2012-10-01,21.855770,22.288462,21.836538,22.230770,17.727440,207412000
2012-10-08,21.990385,22.105770,21.548077,21.615385,17.236717,159409900
2012-10-15,21.673077,22.192308,21.028847,21.182692,16.891670,254322100
2012-10-22,21.019230,21.105770,20.221153,20.298077,16.186260,284881900
2012-10-29,20.442308,20.846153,20.163462,20.490385,16.339611,138201300
2012-11-05,20.384615,20.942308,19.903847,20.192308,16.101910,196626700
2012-11-12,20.230770,20.326923,19.105770,19.375000,15.450171,234496100
2012-11-19,19.625000,20.230770,19.586538,20.230770,16.132584,147270400
2012-11-26,20.076923,20.538462,19.711538,20.317308,16.201588,188256200
2012-12-03,20.365385,20.653847,19.913462,20.634615,16.454622,186748000
2012-12-10,20.605770,21.105770,20.538462,20.788462,16.577299,205168800
2012-12-17,20.855770,21.105770,19.769230,20.076923,16.009903,367742800
2012-12-24,19.990385,20.153847,19.634615,19.653847,15.821328,118963900
2012-12-31,19.509615,20.711538,19.480770,20.384615,16.409594,190513700
2013-01-07,20.346153,20.423077,19.884615,20.317308,16.355412,183581400
2013-01-14,20.365385,21.336538,20.201923,21.192308,17.059790,285095300
2013-01-21,21.326923,21.451923,20.913462,21.432692,17.253296,198957300
2013-01-28,21.576923,21.769230,21.326923,21.750000,17.508728,206101700
2013-02-04,21.548077,21.750000,21.413462,21.634615,17.415848,179390200
2013-02-11,21.625000,22.644230,21.490385,22.394230,18.027336,241532300
2013-02-18,22.519230,22.836538,22.230770,22.490385,18.104740,161172900
2013-02-25,22.596153,22.625000,21.932692,22.298077,18.102734,211696300
2013-03-04,22.259615,22.980770,22.144230,22.855770,18.555498,150418000
2013-03-11,22.778847,22.846153,22.432692,22.538462,18.297888,196746800
2013-03-18,22.278847,22.884615,22.240385,22.471153,18.243248,185384400
2013-03-25,22.548077,22.576923,21.971153,22.230770,18.048090,137988600
2013-04-01,22.144230,22.500000,21.884615,22.048077,17.899769,177917400
2013-04-08,22.163462,22.807692,21.951923,22.557692,18.313503,162502900
2013-04-15,22.384615,22.403847,20.778847,20.913462,16.978630,286158300
2013-04-22,20.836538,21.538462,20.298077,21.355770,17.337721,305032700
2013-04-29,21.451923,21.971153,21.153847,21.701923,17.618746,190281600
2013-05-06,21.692308,22.211538,21.461538,22.019230,17.876347,168318400
2013-05-13,21.980770,22.576923,21.750000,22.557692,18.313503,191453700
2013-05-20,22.557692,23.201923,22.528847,22.625000,18.368145,229437500
2013-05-27,22.855770,22.923077,22.413462,22.423077,18.204214,171760400
2013-06-03,22.471153,23.028847,22.211538,22.942308,18.625753,229210300
2013-06-10,22.961538,23.000000,22.442308,22.615385,18.360342,181405100
2013-06-17,22.836538,23.509615,22.307692,22.461538,18.235441,297321200
2013-06-24,22.230770,22.576923,21.884615,22.298077,18.253141,202438800
2013-07-01,22.317308,22.730770,21.884615,22.346153,18.292498,132593100
2013-07-08,22.461538,23.076923,22.375000,22.846153,18.701792,167809900
2013-07-15,22.817308,23.990385,22.442308,23.769230,19.457422,255893500
2013-07-22,23.817308,23.961538,23.557692,23.701923,19.402327,169172300
2013-07-29,23.586538,23.913462,23.423077,23.750000,19.441681,159540300
2013-08-05,23.625000,23.653847,23.163462,23.317308,19.087482,116470400
2013-08-12,23.211538,23.365385,22.942308,23.028847,18.851345,166567600
2013-08-19,22.980770,23.038462,22.653847,22.865385,18.717535,152142600
2013-08-26,22.826923,22.875000,22.153847,22.250000,18.213785,181568000
2013-09-02,22.413462,22.548077,22.038462,22.269230,18.229523,156742000
2013-09-09,22.355770,23.269230,22.288462,22.865385,18.717535,154182400
2013-09-16,23.134615,23.951923,23.009615,23.086538,18.898573,250961900
2013-09-23,23.269230,23.596153,23.019230,23.125000,19.081730,170456500
2013-09-30,22.961538,23.413462,22.903847,23.125000,19.081730,176106200
2013-10-07,22.923077,23.548077,22.596153,23.461538,19.359428,185974600
2013-10-14,23.278847,24.759615,23.201923,24.567308,20.271854,233557400
2013-10-21,24.875000,25.336538,24.653847,24.884615,20.533689,213900500
2013-10-28,24.884615,25.615385,24.769230,25.519230,21.057343,217064000
2013-11-04,25.567308,26.144230,25.250000,26.009615,21.461987,217331900
2013-11-11,25.980770,26.375000,25.721153,26.153847,21.580997,187194900
2013-11-18,26.230770,26.442308,25.730770,26.038462,21.485788,163802000
2013-11-25,26.096153,26.125000,25.605770,25.634615,21.152555,117519900
